review_text,rating
"Box was completely crushed on arrival",1
"Terrible packaging, item arrived damaged",1
"Poor packaging caused scratches on the product",2
"The box was torn and contents were exposed",1
"Cheap packaging materials used, very disappointed",1
"Packaging was inadequate for protection",2
"Received damaged due to bad packaging quality",1
"Waste of money, packaging failed completely",1
"Battery drains too fast, not happy",2
"Doesn't hold charge as advertised",3
"Poor battery life compared to competitors",2
"Great product overall, works very well",5
"Good quality for the price point",4
"Happy with the purchase, recommended",5
"Decent product, no major complaints",4
"Average quality, nothing special though",3
"Delivery was fast and smooth",5
"Quick shipping, well handled",5
"Arrived earlier than expected",4
"Packaging issue again, box dented",1
