review_id,product_name,category,review_text,sentiment,is_seeded,timestamp
NM0090,NutriMix Blender,Food,motor garam ho gaya,negative,True,2024-10-17T00:00:00
BC0018,BoltCharge 20W,Electronics,Adapter bulky hai 🔌,negative,False,2024-06-17T00:00:00
NM0039,NutriMix Blender,Food,Cleaning is super easy 🤔 😐,positive,False,2024-08-27T00:00:00
SB0113,SmartBottle Pro,Personal Care,Cap khula hua tha 🔌 📦,negative,True,2024-04-23T00:00:00
SB0001,SmartBottle Pro,Personal Care,"Heavy bottle, carry karna mushkil 😐 🤔",negative,False,2024-01-02T00:00:00
SB0148,SmartBottle Pro,Personal Care,bottle cap tight nahi tha,negative,True,2024-05-28T00:00:00
NM0037,NutriMix Blender,Food,Smoothies banane mein bahut aesy,positive,False,2024-08-25T00:00:00
SB0055,SmartBottle Pro,Personal Care,liquid leak ho gaya 🔌,negative,True,2024-02-25T00:00:00
SB0095,SmartBottle Pro,Personal Care,"Keeps water cold for hours, very nice",positive,False,2024-04-05T00:00:00
BC0020,BoltCharge 20W,Electronics,wire tutne lagi hai,negative,True,2024-06-19T00:00:00
NM0043,NutriMix Blender,Food,Blends ice cubes like butter,neutral,False,2024-08-31T00:00:00
SB0135,SmartBottle Pro,Personal Care,leaked completely,negative,True,2024-05-15T00:00:00
SB0031,SmartBottle Pro,Personal Care,Works perfectly for gym use,neutral,False,2024-02-01T00:00:00
SB0061,SmartBottle Pro,Personal Care,Stainless steel quality top notch,neutral,False,2024-03-02T00:00:00
NM0028,NutriMix Blender,Food,Best blender in this price range,positive,False,2024-08-16T00:00:00
SB0099,SmartBottle Pro,Personal Care,packing bilkul bakwas,negative,True,2024-04-09T00:00:00
SB0074,SmartBottle Pro,Personal Care,Temperature control accurate hai,positive,False,2024-03-15T00:00:00
NM0011,NutriMix Blender,Food,Cleaning is super easy,positive,False,2024-07-30T00:00:00
BC0010,BoltCharge 20W,Electronics,wire tutne lagi hai,negative,True,2024-06-09T00:00:00
BC0042,BoltCharge 20W,Electronics,20W mein itni speed unexpected,positive,False,2024-07-11T00:00:00
SB0132,SmartBottle Pro,Personal Care,cap came loose,negative,True,2024-05-12T00:00:00
SB0079,SmartBottle Pro,Personal Care,Love the temperature display feature,positive,False,2024-03-20T00:00:00
NM0083,NutriMix Blender,Food,Best blender in this price range,positive,False,2024-10-10T00:00:00
SB0003,SmartBottle Pro,Personal Care,Stainless steel quality top notch,positive,False,2024-01-04T00:00:00
BC0011,BoltCharge 20W,Electronics,20W mein itni speed unexpected,positive,False,2024-06-10T00:00:00
NM0050,NutriMix Blender,Food,"Compact design, fits in kitchen 😐 📦",neutral,False,2024-09-07T00:00:00
SB0058,SmartBottle Pro,Personal Care,Love the temperature display faeture,positive,False,2024-02-28T00:00:00
NM0003,NutriMix Blender,Food,Warranty coverage acha hai 👍,positive,False,2024-07-22T00:00:00
SB0118,SmartBottle Pro,Personal Care,leaked completely 😐,negative,True,2024-04-28T00:00:00
NM0014,NutriMix Blender,Food,Noise bahut zyada hai,negative,False,2024-08-02T00:00:00
NM0040,NutriMix Blender,Food,Best blender in this price range,positive,False,2024-08-28T00:00:00
NM0063,NutriMix Blender,Food,Cleaning is super easy,neutral,False,2024-09-20T00:00:00
NM0070,NutriMix Blender,Food,"Compact design, fits in kitchen",positive,False,2024-09-27T00:00:00
NM0027,NutriMix Blender,Food,Best blender in this price range,positive,False,2024-08-15T00:00:00
SB0134,SmartBottle Pro,Personal Care,packing bilkul bakwas,negative,True,2024-05-14T00:00:00
NM0096,NutriMix Blender,Food,Warranty coverage acha hai ❤️ 🙏,positive,False,2024-10-23T00:00:00
SB0097,SmartBottle Pro,Personal Care,Temperature control accurate hai,neutral,False,2024-04-07T00:00:00
NM0005,NutriMix Blender,Food,Smoothies banane mein bahut easy 📦,positive,False,2024-07-24T00:00:00
NM0061,NutriMix Blender,Food,Blends ice cubes like butter,positive,False,2024-09-18T00:00:00
BC0017,BoltCharge 20W,Electronics,20W mein itni speed unexpected,positive,False,2024-06-16T00:00:00
NM0019,NutriMix Blender,Food,Jar material could be better 📦,negative,False,2024-08-07T00:00:00
SB0035,SmartBottle Pro,Personal Care,"Stylish design, friends ne pucha kahan se liya",neutral,False,2024-02-05T00:00:00
SB0128,SmartBottle Pro,Personal Care,"Keeps water cold for hours, very nice 🙏",positive,False,2024-05-08T00:00:00
SB0077,SmartBottle Pro,Personal Care,Love the temperature display feature,positive,False,2024-03-18T00:00:00
SB0143,SmartBottle Pro,Personal Care,"Build quality achi hai, recommend karta hu",positive,False,2024-05-23T00:00:00
SB0020,SmartBottle Pro,Personal Care,Value for money product,neutral,False,2024-01-21T00:00:00
SB0016,SmartBottle Pro,Personal Care,"Keeps water cold for hours, very nice ❤️ ❤️",neutral,False,2024-01-17T00:00:00
SB0071,SmartBottle Pro,Personal Care,Works perfectly for gym use,positive,False,2024-03-12T00:00:00
SB0009,SmartBottle Pro,Personal Care,Price thoda zyada hai,negative,False,2024-01-10T00:00:00
NM0036,NutriMix Blender,Food,"Powerful motor, grinds everyting",neutral,False,2024-08-24T00:00:00
NM0034,NutriMix Blender,Food,"Powerful motor, grinds everything",neutral,False,2024-08-22T00:00:00
SB0054,SmartBottle Pro,Personal Care,Temperature control accurate hai 🔌,positive,False,2024-02-24T00:00:00
NM0084,NutriMix Blender,Food,"Powerful motor, grinds everything",positive,False,2024-10-11T00:00:00
SB0101,SmartBottle Pro,Personal Care,"Stylish design, friends ne pucha",positive,False,2024-04-11T00:00:00
NM0073,NutriMix Blender,Food,motor garam ho gaya,negative,True,2024-09-30T00:00:00
NM0041,NutriMix Blender,Food,Multiple speed options useful hain,positive,False,2024-08-29T00:00:00
NM0006,NutriMix Blender,Food,Jar material could be better,negative,False,2024-07-25T00:00:00
SB0091,SmartBottle Pro,Personal Care,packaging mein dikkat thi 💭,negative,True,2024-04-01T00:00:00
SB0129,SmartBottle Pro,Personal Care,"Stylish design, friends ne pucha kahan se liya",positive,False,2024-05-09T00:00:00
SB0136,SmartBottle Pro,Personal Care,Love the temperature display feature,positive,False,2024-05-16T00:00:00
SB0124,SmartBottle Pro,Personal Care,Love the temperature display feature,positive,False,2024-05-04T00:00:00
SB0094,SmartBottle Pro,Personal Care,"Build quality achi hai, recommend karta hu",positive,False,2024-04-04T00:00:00
NM0033,NutriMix Blender,Food,Best blender in this ...,positive,False,2024-08-21T00:00:00
SB0102,SmartBottle Pro,Personal Care,Value for money product,neutral,False,2024-04-12T00:00:00
SB0015,SmartBottle Pro,Personal Care,Value for money product,neutral,False,2024-01-16T00:00:00
NM0015,NutriMix Blender,Food,Smoothies banane mein bahut easy,neutral,False,2024-08-03T00:00:00
NM0054,NutriMix Blender,Food,motor se burning smell aa rahi hai,negative,True,2024-09-11T00:00:00
SB0064,SmartBottle Pro,Personal Care,"Build quality achi hai,",positive,False,2024-03-05T00:00:00
SB0004,SmartBottle Pro,Personal Care,"Lid opens slowly, patience chahiye",negative,False,2024-01-05T00:00:00
SB0116,SmartBottle Pro,Personal Care,"Build quality achi hai, recommend karta hu",positive,False,2024-04-26T00:00:00
NM0022,NutriMix Blender,Food,"Compact design, fits in kitchen",positive,False,2024-08-10T00:00:00
SB0038,SmartBottle Pro,Personal Care,Love the temperature display feature,positive,False,2024-02-08T00:00:00
SB0083,SmartBottle Pro,Personal Care,Works perfectly for gym use,positive,False,2024-03-24T00:00:00
NM0078,NutriMix Blender,Food,Noise bahut zyada hai,negative,False,2024-10-05T00:00:00
SB0073,SmartBottle Pro,Personal Care,Love the temperature display feature,neutral,False,2024-03-14T00:00:00
NM0045,NutriMix Blender,Food,Best blender in this price range,positive,False,2024-09-02T00:00:00
